"","ENF_ACTION_ISSUE_DATE","total"
"548",2018-08-15,1
"549",2018-08-21,8
"550",2018-08-22,1
"551",2018-08-24,1
"552",2018-08-29,3
"553",2018-09-17,1
"554",2018-09-21,1
"555",2018-09-28,2
"556",2018-10-09,1
"557",2018-10-25,1
"558",2018-10-31,2
"559",2018-11-05,4
"560",2018-11-06,1
"561",2018-11-13,1
"562",2018-11-19,6
"563",2018-11-28,1
"564",2018-12-04,29
"565",2018-12-05,50
"566",2018-12-14,1
"567",2018-12-17,27
"568",2018-12-18,3
"569",2018-12-21,2
"570",2018-12-27,1
"571",2019-01-03,1
"572",2019-01-08,1
"573",2019-01-11,2
"574",2019-01-22,2
"575",2019-01-30,2
"576",2019-12-05,41
